id	artist	title	genre	source_url_hint
ambient_001	Brian Eno	An Ending (Ascent)	ambient	youtube
ambient_002	Stars of the Lid	The Tired Sounds of Stars of the Lid	ambient	youtube
drone_001	Tim Hecker	The Piano Drop	drone	youtube
field_001	Bernhard Günther	Cologne Field Recording	field	youtube
class_min_001	Steve Reich	Music for 18 Musicians	minimalism	youtube
class_min_002	Philip Glass	Glassworks - Opening	minimalism	youtube
class_min_003	Terry Riley	In C	minimalism	youtube
class_acc_001	Arvo Pärt	Spiegel im Spiegel	contemplative	youtube
jazz_001	Miles Davis	So What	modal jazz	youtube
jazz_002	John Coltrane	Giant Steps	bebop	youtube
jazz_003	Bill Evans Trio	Waltz for Debby	piano trio	youtube
jazz_004	Kamasi Washington	Change of the Guard	spiritual jazz	youtube
edm_001	Daft Punk	One More Time	house	youtube
edm_002	Deadmau5	Strobe	progressive house	youtube
edm_003	Skrillex	Scary Monsters and Nice Sprites	dubstep	youtube
edm_004	Aphex Twin	Windowlicker	IDM	youtube
edm_005	Kraftwerk	The Model	electronic	youtube
afro_001	Fela Kuti	Water No Get Enemy	afrobeat	youtube
afro_002	King Sunny Adé	Ja Funmi	jùjú	youtube
latin_001	Celia Cruz	La Vida Es Un Carnaval	salsa	youtube
latin_002	Bomba Estéreo	Fuego	electrocumbia	youtube
bollywood_001	A.R. Rahman	Jai Ho	bollywood	youtube
rock_001	Pink Floyd	Shine On You Crazy Diamond	progressive rock	youtube
rock_002	The Jimi Hendrix Experience	Voodoo Child	psychedelic rock	youtube
rock_003	Led Zeppelin	Kashmir	rock	youtube
rock_004	Radiohead	Everything In Its Right Place	art rock	youtube
pop_001	Michael Jackson	Billie Jean	pop	youtube
pop_002	ABBA	Dancing Queen	disco pop	youtube
pop_003	Björk	Army of Me	art pop	youtube
folk_001	Nick Drake	Northern Sky	folk	youtube
folk_002	Ali Farka Touré	Ai Du	desert blues	youtube
folk_003	Ravi Shankar	Raga Bhimpalasi	hindustani	youtube
synth_001	Kavinsky	Nightcall	synthwave	youtube
synth_002	Perturbator	Future Club	darksynth	youtube
noise_001	Merzbow	Pulse Demon	harsh noise	youtube
noise_002	Autechre	Gantz Graf	glitch	youtube
orch_001	Beethoven	Symphony 5 - 1st mov	classical	youtube
orch_002	Mahler	Symphony 5 - Adagietto	romantic	youtube
orch_003	John Adams	Short Ride in a Fast Machine	minimalist orch	youtube
hip_001	Dr. Dre	Nuthin' but a G Thang	g-funk	youtube
hip_002	Kanye West	Stronger	electro-hip	youtube
hip_003	J Dilla	Donuts	instrumental hip	youtube
elec_amb_001	Tycho	Awake	downtempo	youtube
elec_amb_002	Boards of Canada	Roygbiv	IDM	youtube
elec_amb_003	Carbon	Look	breakcore	youtube
elec_amb_004	Fennesz	The Magic of a Single Day	guitar ambient	youtube
elec_amb_005	Lusine	Just A Cloud	techno ambient	youtube
